Driver,Compound,TyreLife,FuelLoad,LapDelta,Tire_Fuel_Interaction
ALO,HARD,7.0,34.8,0.6900000000000119,0.19553072625698326
ALO,HARD,8.0,33.19999999999999,0.8539999999999992,0.23391812865497083
ALO,HARD,9.0,31.599999999999994,0.6290000000000049,0.2760736196319019
ALO,HARD,10.0,30.0,0.2430000000000092,0.3225806451612903
ALO,HARD,11.0,28.39999999999999,0.4450000000000074,0.37414965986394566
ALO,HARD,12.0,26.8,0.0,0.4316546762589928
ALO,HARD,13.0,25.19999999999999,0.37400000000000944,0.49618320610687044
ALO,HARD,14.0,23.599999999999994,0.5420000000000016,0.5691056910569107
ALO,HARD,15.0,22.0,0.4590000000000032,0.6521739130434783
ALO,HARD,16.0,20.39999999999999,0.25900000000000034,0.7476635514018695
LEC,MEDIUM,2.0,106.8,3.2009999999999934,0.01855287569573284
LEC,MEDIUM,3.0,105.2,2.962999999999994,0.02824858757062147
LEC,MEDIUM,4.0,103.6,2.706000000000003,0.03824091778202677
LEC,MEDIUM,5.0,102.0,2.8190000000000026,0.04854368932038835
LEC,MEDIUM,6.0,100.4,2.8599999999999994,0.05917159763313609
LEC,MEDIUM,7.0,98.8,2.870999999999995,0.07014028056112225
LEC,MEDIUM,8.0,97.2,3.1700000000000017,0.0814663951120163
LEC,HARD,2.0,92.4,2.834000000000003,0.021413276231263382
LEC,HARD,3.0,90.8,2.0279999999999916,0.032679738562091505
LEC,HARD,4.0,89.2,2.408999999999992,0.044345898004434586
LEC,HARD,5.0,87.6,2.138999999999996,0.05643340857787811
LEC,HARD,6.0,86.0,1.921999999999997,0.06896551724137931
LEC,HARD,7.0,84.4,2.4339999999999975,0.08196721311475409
LEC,HARD,10.0,79.6,2.067999999999998,0.12406947890818859
LEC,HARD,11.0,78.0,2.0720000000000027,0.13924050632911392
LEC,HARD,12.0,76.4,2.2450000000000045,0.15503875968992248
LEC,HARD,13.0,74.8,1.9089999999999918,0.17150395778364116
LEC,HARD,14.0,73.19999999999999,2.1189999999999998,0.1886792452830189
LEC,HARD,15.0,71.6,2.0390000000000015,0.2066115702479339
LEC,HARD,16.0,70.0,2.137999999999991,0.22535211267605634
LEC,HARD,17.0,68.4,2.228999999999999,0.24495677233429392
LEC,HARD,18.0,66.8,2.0090000000000003,0.26548672566371684
LEC,HARD,19.0,65.19999999999999,2.1559999999999917,0.2870090634441088
LEC,HARD,20.0,63.6,2.6200000000000045,0.30959752321981426
LEC,HARD,21.0,62.0,2.4710000000000036,0.3333333333333333
LEC,HARD,22.0,60.4,2.1829999999999927,0.3583061889250814
LEC,HARD,23.0,58.8,2.0279999999999916,0.38461538461538464
LEC,HARD,24.0,57.2,2.209000000000003,0.41237113402061853
LEC,HARD,2.0,52.4,2.1289999999999907,0.03745318352059925
LEC,HARD,3.0,50.8,0.875,0.05791505791505792
LEC,HARD,4.0,49.2,1.1359999999999957,0.0796812749003984
LEC,HARD,5.0,47.6,1.0960000000000036,0.102880658436214
LEC,HARD,6.0,46.0,1.1400000000000006,0.1276595744680851
LEC,HARD,7.0,44.39999999999999,0.8619999999999948,0.15418502202643175
LEC,HARD,8.0,42.8,1.0360000000000014,0.18264840182648404
LEC,HARD,9.0,41.2,1.039999999999992,0.21327014218009477
LEC,HARD,10.0,39.6,0.7469999999999999,0.24630541871921183
LEC,HARD,11.0,38.0,0.5949999999999989,0.28205128205128205
LEC,HARD,12.0,36.39999999999999,0.9470000000000027,0.3208556149732621
LEC,HARD,13.0,34.8,0.18599999999999284,0.36312849162011174
LEC,HARD,14.0,33.19999999999999,0.5360000000000014,0.409356725146199
LEC,HARD,15.0,31.599999999999994,0.33100000000000307,0.46012269938650313
LEC,HARD,16.0,30.0,0.11199999999999477,0.5161290322580645
LEC,HARD,17.0,28.39999999999999,0.402000000000001,0.578231292517007
LEC,HARD,18.0,26.8,0.5180000000000007,0.6474820143884892
LEC,HARD,19.0,25.19999999999999,0.6499999999999915,0.7251908396946568
LEC,HARD,20.0,23.599999999999994,0.5069999999999908,0.813008130081301
LEC,HARD,21.0,22.0,1.149000000000001,0.9130434782608695
LEC,HARD,22.0,20.39999999999999,0.0,1.0280373831775704
LEC,HARD,23.0,18.8,1.0579999999999927,1.1616161616161615
STR,MEDIUM,3.0,106.8,2.620999999999995,0.027829313543599257
STR,MEDIUM,4.0,105.2,2.265999999999991,0.03766478342749529
STR,MEDIUM,5.0,103.6,2.5239999999999867,0.047801147227533466
STR,MEDIUM,6.0,102.0,2.4069999999999965,0.05825242718446602
STR,MEDIUM,7.0,100.4,2.096999999999994,0.0690335305719921
STR,MEDIUM,8.0,98.8,2.0889999999999986,0.08016032064128256
STR,HARD,3.0,94.0,1.9529999999999887,0.031578947368421054
STR,HARD,4.0,92.4,1.7879999999999967,0.042826552462526764
STR,HARD,5.0,90.8,2.1329999999999956,0.054466230936819175
STR,HARD,6.0,89.2,2.391999999999996,0.06651884700665188
STR,HARD,7.0,87.6,2.1759999999999877,0.07900677200902935
STR,HARD,8.0,86.0,2.519999999999996,0.09195402298850575
STR,HARD,9.0,84.4,3.719999999999999,0.10538641686182669
STR,HARD,12.0,79.6,2.174999999999997,0.14888337468982632
STR,HARD,13.0,78.0,1.9919999999999902,0.16455696202531644
STR,HARD,14.0,76.4,1.6979999999999933,0.1808785529715762
STR,HARD,15.0,74.8,1.9749999999999943,0.1978891820580475
STR,HARD,16.0,73.19999999999999,1.9309999999999974,0.21563342318059303
STR,HARD,17.0,71.6,1.921999999999997,0.23415977961432508
STR,HARD,18.0,70.0,2.0109999999999957,0.2535211267605634
STR,HARD,19.0,68.4,2.36399999999999,0.2737752161383285
STR,HARD,20.0,66.8,2.2619999999999862,0.2949852507374631
STR,HARD,21.0,65.19999999999999,2.1289999999999907,0.3172205438066466
STR,HARD,22.0,63.6,2.2049999999999983,0.3405572755417957
STR,HARD,23.0,62.0,2.1939999999999884,0.36507936507936506
STR,HARD,24.0,60.4,2.590999999999994,0.39087947882736157
STR,HARD,25.0,58.8,2.2269999999999897,0.4180602006688963
STR,HARD,26.0,57.2,2.3359999999999985,0.4467353951890034
STR,HARD,27.0,55.6,2.1839999999999975,0.47703180212014135
STR,HARD,28.0,54.0,2.4679999999999893,0.509090909090909
STR,HARD,29.0,52.4,2.276999999999987,0.5430711610486891
STR,HARD,3.0,47.6,1.1119999999999948,0.06172839506172839
STR,HARD,4.0,46.0,1.1699999999999875,0.0851063829787234
STR,HARD,5.0,44.39999999999999,1.313999999999993,0.1101321585903084
STR,HARD,6.0,42.8,0.8989999999999867,0.13698630136986303
STR,HARD,7.0,41.2,0.7919999999999874,0.16587677725118483
STR,HARD,8.0,39.6,1.0619999999999976,0.19704433497536944
STR,HARD,9.0,38.0,0.6729999999999876,0.23076923076923078
STR,HARD,10.0,36.39999999999999,0.5009999999999906,0.2673796791443851
STR,HARD,11.0,34.8,0.08399999999998897,0.30726256983240224
STR,HARD,12.0,33.19999999999999,0.17899999999998784,0.35087719298245623
STR,HARD,13.0,31.599999999999994,0.0,0.3987730061349694
STR,HARD,14.0,30.0,0.06099999999999284,0.45161290322580644
STR,HARD,15.0,28.39999999999999,0.1909999999999883,0.5102040816326532
STR,HARD,16.0,26.8,0.28299999999998704,0.5755395683453237
STR,HARD,17.0,25.19999999999999,0.13299999999999557,0.6488549618320614
STR,HARD,18.0,23.599999999999994,0.19999999999998863,0.7317073170731709
STR,HARD,19.0,22.0,0.34199999999999875,0.8260869565217391
STR,HARD,20.0,20.39999999999999,0.30299999999999727,0.9345794392523368
MAG,MEDIUM,2.0,106.8,3.166000000000011,0.01855287569573284
MAG,MEDIUM,3.0,105.2,2.483000000000004,0.02824858757062147
MAG,MEDIUM,4.0,103.6,2.4470000000000027,0.03824091778202677
MAG,MEDIUM,5.0,102.0,2.879000000000005,0.04854368932038835
MAG,MEDIUM,6.0,100.4,2.872,0.05917159763313609
MAG,HARD,2.0,95.6,2.5800000000000125,0.020703933747412008
MAG,HARD,3.0,94.0,2.589000000000013,0.031578947368421054
MAG,HARD,4.0,92.4,2.240000000000009,0.042826552462526764
MAG,HARD,5.0,90.8,2.028000000000006,0.054466230936819175
MAG,HARD,6.0,89.2,1.9810000000000088,0.06651884700665188
MAG,HARD,7.0,87.6,1.8230000000000075,0.07900677200902935
MAG,HARD,8.0,86.0,2.5860000000000127,0.09195402298850575
MAG,HARD,9.0,84.4,2.4790000000000134,0.10538641686182669
MAG,HARD,11.0,81.2,2.0430000000000064,0.13381995133819952
MAG,HARD,12.0,79.6,1.7660000000000053,0.14888337468982632
MAG,HARD,13.0,78.0,1.7270000000000039,0.16455696202531644
MAG,HARD,14.0,76.4,1.7780000000000058,0.1808785529715762
MAG,HARD,15.0,74.8,2.233000000000004,0.1978891820580475
MAG,HARD,16.0,73.19999999999999,3.203000000000003,0.21563342318059303
MAG,HARD,17.0,71.6,2.2480000000000047,0.23415977961432508
MAG,HARD,18.0,70.0,2.4200000000000017,0.2535211267605634
MAG,HARD,19.0,68.4,2.403000000000006,0.2737752161383285
MAG,HARD,20.0,66.8,2.443000000000012,0.2949852507374631
MAG,HARD,21.0,65.19999999999999,2.385000000000005,0.3172205438066466
MAG,HARD,22.0,63.6,2.3740000000000094,0.3405572755417957
MAG,HARD,23.0,62.0,2.325000000000003,0.36507936507936506
MAG,HARD,24.0,60.4,2.1340000000000003,0.39087947882736157
MAG,HARD,25.0,58.8,2.314000000000007,0.4180602006688963
MAG,HARD,2.0,54.0,1.2580000000000098,0.03636363636363636
MAG,HARD,3.0,52.4,1.027000000000001,0.056179775280898875
MAG,HARD,4.0,50.8,1.179000000000002,0.07722007722007722
MAG,HARD,5.0,49.2,1.0030000000000001,0.099601593625498
